backend	kernel	class	launches	manifest	note
cpu	addBiasRowsF32	RAN	114	manifest	
cpu	addF32	RAN	488	manifest	
cpu	addSigmoidRowsF32	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	argmaxRowKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	arithBf16	EXTERNAL	0	manifest	
cpu	arithF16	EXTERNAL	0	manifest	
cpu	arithF32	EXTERNAL	0	manifest	
cpu	attendF16	RAN	1	manifest	
cpu	attendF32	RAN	1	manifest	
cpu	attnCombineKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	attnCombinePrefillKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	attnFlashDecodeReduceKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	attnScoreKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	attnScorePrefillKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	attnScorePrefillRowKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	attnScorePrefillRowV2Kernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	axpbyF32	RAN	2	manifest	
cpu	bincountI32	EXTERNAL	0	manifest	
cpu	bitonicStepF32	EXTERNAL	0	manifest	
cpu	blockPadKernel	RAN	1	manifest	
cpu	blockRepack2Kernel	RAN	1	manifest	
cpu	concatI8Kernel	RAN	2	manifest	
cpu	coopLayoutProbeKernel	PROBE	0	manifest	
cpu	copyRangeF32	EXTERNAL	0	manifest	
cpu	cropBf16	EXTERNAL	0	manifest	
cpu	cropF32	EXTERNAL	0	manifest	
cpu	deqPadZeroKernel	RAN	3	manifest	
cpu	dotCeilingKernel	PROBE	0	manifest	
cpu	f16F16CoopX3Kernel	RAN	1	manifest	
cpu	f32CopyKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	f32MatVecKernel	PROBE	0	manifest	
cpu	f32ToF16Kernel	RAN	80	manifest	
cpu	flatReadKernel	PROBE	0	manifest	
cpu	gatherF32	EXTERNAL	0	manifest	
cpu	gatherRowsF32Kernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	gluF32	RAN	208	manifest	
cpu	gluFusedF32	RAN	2	manifest	
cpu	gluPackF32	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	iq2sF16CoopN256Kernel	RAN	1	manifest	
cpu	iq2sF16CoopN64Kernel	RAN	1	manifest	
cpu	iq2sF16CoopX3Kernel	RAN	1	manifest	
cpu	iq2xsF16CoopN256Kernel	RAN	1	manifest	
cpu	iq2xsF16CoopN64Kernel	RAN	1	manifest	
cpu	iq2xsF16CoopX3Kernel	RAN	1	manifest	
cpu	iq2xxsF16CoopN256Kernel	RAN	1	manifest	
cpu	iq2xxsF16CoopN64Kernel	RAN	1	manifest	
cpu	iq2xxsF16CoopX3Kernel	RAN	1	manifest	
cpu	iq3sF16CoopN256Kernel	RAN	1	manifest	
cpu	iq3sF16CoopN64Kernel	RAN	1	manifest	
cpu	iq3sF16CoopX3Kernel	RAN	1	manifest	
cpu	iq3xxsF16CoopIdN64Kernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	iq3xxsF16CoopN256Kernel	RAN	1	manifest	
cpu	iq3xxsF16CoopN64Kernel	RAN	1	manifest	
cpu	iq3xxsF16CoopX3Kernel	RAN	1	manifest	
cpu	iq4nlF16CoopIdN64Kernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	iq4nlF16CoopN64Kernel	RAN	1	manifest	
cpu	iq4nlF16CoopX1Kernel	RAN	1	manifest	
cpu	iq4nlF16CoopX3Kernel	RAN	2	manifest	
cpu	iq4nlMatVecKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	iq4xsF16CoopX1Kernel	RAN	1	manifest	
cpu	iq4xsF16CoopX3Kernel	RAN	1	manifest	
cpu	iq4xsMatVecKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	iqTableProbeKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	kvAppendKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	kvAppendRangeKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	ldsDotKernel	PROBE	0	manifest	
cpu	matmulBf16	EXTERNAL	0	manifest	
cpu	matmulBf16Wide	EXTERNAL	0	manifest	
cpu	matmulF16	EXTERNAL	0	manifest	
cpu	matmulF32	EXTERNAL	0	manifest	
cpu	matmulF64	EXTERNAL	0	manifest	
cpu	matmulI8	EXTERNAL	0	manifest	
cpu	mmaF16Kernel	PROBE	0	manifest	
