backend	kernel	class	launches	manifest	note
cuda	addBiasRowsF32	RAN	155	manifest	
cuda	addF32	RAN	1776	manifest	
cuda	addSigmoidRowsF32	RAN	21	manifest	
cuda	argmaxRowKernel	RAN	151	manifest	
cuda	arithBf16	EXTERNAL	0	manifest	
cuda	arithF16	EXTERNAL	0	manifest	
cuda	arithF32	EXTERNAL	0	manifest	
cuda	attendF16	RAN	1	manifest	
cuda	attendF32	RAN	1	manifest	
cuda	attnCombineKernel	RAN	47	manifest	
cuda	attnCombinePrefillKernel	RAN	8	manifest	
cuda	attnCombinePrefillV2Kernel	RAN	1	manifest	
cuda	attnFlashDecodeGqa1Kernel	RAN	7	manifest	
cuda	attnFlashDecodeGqa4Kernel	RAN	1720	manifest	
cuda	attnFlashDecodeGqa8Kernel	RAN	14	manifest	
cuda	attnFlashDecodeReduceKernel	RAN	19	manifest	
cuda	attnFlashPrefillGqa4Kernel	RAN	6	manifest	
cuda	attnFlashPrefillKernel	RAN	8	manifest	
cuda	attnFlashPrefillTileKernel	RAN	827	manifest	
cuda	attnReducePackQ8Kernel	RAN	1724	manifest	
cuda	attnScoreKernel	RAN	47	manifest	
cuda	attnScorePrefillKernel	RAN	1	manifest	
cuda	attnScorePrefillRowKernel	RAN	7	manifest	
cuda	attnScorePrefillRowV2Kernel	RAN	1	manifest	
cuda	axpbyF32	RAN	62	manifest	
cuda	bincountI32	EXTERNAL	0	manifest	
cuda	bitonicStepF32	EXTERNAL	0	manifest	
cuda	blockPadKernel	RAN	1	manifest	
cuda	blockRepack2Kernel	RAN	1	manifest	
cuda	concatI8Kernel	RAN	2	manifest	
cuda	coopLayoutProbeKernel	PROBE	0	manifest	
cuda	copyRangeF32	EXTERNAL	0	manifest	
cuda	cropBf16	EXTERNAL	0	manifest	
cuda	cropF32	EXTERNAL	0	manifest	
cuda	deqPadZeroKernel	RAN	8	manifest	
cuda	dotCeilingKernel	PROBE	0	manifest	
cuda	f16F16CoopX3Kernel	RAN	1	manifest	
cuda	f16F32WaveMatVecKernel	RAN	105	manifest	
cuda	f32CopyKernel	RAN	71	manifest	
cuda	f32MatVecKernel	PROBE	0	manifest	
cuda	f32ToF16Kernel	RAN	86	manifest	
cuda	flatReadKernel	PROBE	0	manifest	
cuda	gatherF32	EXTERNAL	0	manifest	
cuda	gatherRowsF32Kernel	RAN	12	manifest	
cuda	gluF32	RAN	876	manifest	
cuda	gluFusedF32	RAN	2	manifest	
cuda	gluPackF32	RAN	1650	manifest	
cuda	iq2sF16CoopN256Kernel	RAN	1	manifest	
cuda	iq2sF16CoopN64Kernel	RAN	1	manifest	
cuda	iq2sF16CoopX3Kernel	RAN	1	manifest	
cuda	iq2sIq3xxsQkvWaveMatVecKernel	RAN	1	manifest	
cuda	iq2sQ8WaveGateUpGluKernel	RAN	1	manifest	
cuda	iq2sQ8WaveMatVecKernel	RAN	6	manifest	
cuda	iq2sQ8WaveMatVecLdsKernel	RAN	1	manifest	
cuda	iq2xsF16CoopN256Kernel	RAN	1	manifest	
cuda	iq2xsF16CoopN64Kernel	RAN	1	manifest	
cuda	iq2xsF16CoopX3Kernel	RAN	1	manifest	
cuda	iq2xsQ8WaveMatVecKernel	RAN	1	manifest	
cuda	iq2xxsF16CoopN256Kernel	RAN	1	manifest	
cuda	iq2xxsF16CoopN64Kernel	RAN	1	manifest	
cuda	iq2xxsF16CoopX3Kernel	RAN	1	manifest	
cuda	iq2xxsQ8WaveMatVecKernel	RAN	1	manifest	
cuda	iq3sF16CoopN256Kernel	RAN	1	manifest	
cuda	iq3sF16CoopN64Kernel	RAN	1	manifest	
cuda	iq3sF16CoopX3Kernel	RAN	1	manifest	
cuda	iq3sQ8WaveMatVecKernel	RAN	3	manifest	
cuda	iq3xxsF16CoopIdN64Kernel	RAN	1	manifest	
cuda	iq3xxsF16CoopN256Kernel	RAN	1	manifest	
cuda	iq3xxsF16CoopN64Kernel	RAN	3	manifest	
cuda	iq3xxsF16CoopX3Kernel	RAN	2	manifest	
cuda	iq3xxsQ8IdGateUpGluKernel	RAN	5	manifest	
cuda	iq3xxsQ8IdMatVecKernel	RAN	3	manifest	
cuda	iq3xxsQ8WaveGateUpGluKernel	RAN	5	manifest	
cuda	iq3xxsQ8WaveMatVecKernel	RAN	12	manifest	
cuda	iq3xxsQkvWaveMatVecKernel	RAN	1	manifest	
cuda	iq4nlF16CoopIdN64Kernel	RAN	1	manifest	
cuda	iq4nlF16CoopN64Kernel	RAN	3	manifest	
cuda	iq4nlF16CoopX1Kernel	RAN	1	manifest	
cuda	iq4nlF16CoopX3Kernel	RAN	3	manifest	
cuda	iq4nlF32WaveMatVecKernel	RAN	1	manifest	
cuda	iq4nlMatVecKernel	RAN	1	manifest	
cuda	iq4nlQ8IdDownCombineKernel	RAN	2	manifest	
cuda	iq4nlQ8IdMatVecKernel	RAN	3	manifest	
cuda	iq4nlQ8WaveMatVecKernel	RAN	6	manifest	
cuda	iq4xsF16CoopX1Kernel	RAN	1	manifest	
cuda	iq4xsF16CoopX3Kernel	RAN	1	manifest	
cuda	iq4xsMatVecKernel	RAN	1	manifest	
cuda	iqTableProbeKernel	RAN	1	manifest	
cuda	kvAppendKernel	RAN	12	manifest	
cuda	kvAppendRangeKernel	RAN	820	manifest	
cuda	ldsDotKernel	PROBE	0	manifest	
cuda	matmulBf16	EXTERNAL	0	manifest	
cuda	matmulBf16Wide	EXTERNAL	0	manifest	
cuda	matmulF16	EXTERNAL	0	manifest	
cuda	matmulF32	EXTERNAL	0	manifest	
cuda	matmulF64	EXTERNAL	0	manifest	
cuda	matmulI8	EXTERNAL	0	manifest	
cuda	mmaF16Kernel	PROBE	0	manifest	
cuda	mmaI8Kernel	PROBE	0	manifest	
cuda	moeCombineAddKernel	RAN	3	manifest	
cuda	moeCombineKernel	RAN	1	manifest	
cuda	moeGroupKernel	RAN	12	manifest	
