kernel	family	counterpart	shape	note
addBiasRowsF32	utility	binbcast.cu:add	-	bias add (with sigmoid for the gated form); llama.cpp fuses the unary separately
addF32	utility	binbcast.cu:add	4096	
addSigmoidRowsF32	utility	binbcast.cu:add	-	bias add (with sigmoid for the gated form); llama.cpp fuses the unary separately
argmaxRowKernel	utility	argmax.cu:argmax	128256	
attendF16	utility	fattn.cu:flash_attn_ext	-	attention; the reference model is GQA-4 (32 heads over 8 kv heads)
attendF32	utility	fattn.cu:flash_attn_ext	-	attention; the reference model is GQA-4 (32 heads over 8 kv heads)
attnCombineKernel	utility	fattn.cu:flash_attn_ext	-	unfused score/combine pair; the counterpart is the fused op, so the pair is judged together
attnCombinePrefillKernel	utility	fattn.cu:flash_attn_ext	-	unfused score/combine pair; the counterpart is the fused op, so the pair is judged together
attnCombinePrefillV2Kernel	utility	fattn.cu:flash_attn_ext	-	unfused score/combine pair; the counterpart is the fused op, so the pair is judged together
attnFlashDecodeGqa1Kernel	utility	fattn.cu:flash_attn_ext	-	attention; the reference model is GQA-4 (32 heads over 8 kv heads)
attnFlashDecodeGqa4Kernel	utility	fattn.cu:flash_attn_ext	-	attention; the reference model is GQA-4 (32 heads over 8 kv heads)
attnFlashDecodeGqa8Kernel	utility	fattn.cu:flash_attn_ext	-	attention; the reference model is GQA-4 (32 heads over 8 kv heads)
attnFlashDecodeReduceKernel	utility	fattn.cu:flash_attn_ext	-	attention; the reference model is GQA-4 (32 heads over 8 kv heads)
attnFlashPrefillGqa4Kernel	utility	fattn.cu:flash_attn_ext	-	attention; the reference model is GQA-4 (32 heads over 8 kv heads)
attnFlashPrefillKernel	utility	fattn.cu:flash_attn_ext	-	attention; the reference model is GQA-4 (32 heads over 8 kv heads)
attnFlashPrefillTileKernel	utility	fattn.cu:flash_attn_ext	-	attention; the reference model is GQA-4 (32 heads over 8 kv heads)
attnReducePackQ8Kernel	utility	NONE	-	fused attention reduce + q8 pack of the output; judged by roofline
attnScoreKernel	utility	fattn.cu:flash_attn_ext	-	unfused score/combine pair; the counterpart is the fused op, so the pair is judged together
attnScorePrefillKernel	utility	fattn.cu:flash_attn_ext	-	unfused score/combine pair; the counterpart is the fused op, so the pair is judged together
attnScorePrefillRowKernel	utility	fattn.cu:flash_attn_ext	-	unfused score/combine pair; the counterpart is the fused op, so the pair is judged together
attnScorePrefillRowV2Kernel	utility	fattn.cu:flash_attn_ext	-	unfused score/combine pair; the counterpart is the fused op, so the pair is judged together
axpbyF32	utility	binbcast.cu:add	4096	
blockPadKernel	utility	NONE	-	cajeta's resident split layout; llama.cpp stores blocks whole; judged by roofline
blockRepack2Kernel	utility	NONE	-	cajeta's resident split layout; llama.cpp stores blocks whole; judged by roofline
concatI8Kernel	utility	concat.cu:concat	-	
deqPadZeroKernel	utility	NONE	-	cajeta's resident split layout; llama.cpp stores blocks whole; judged by roofline
f16F16CoopX3Kernel	coop	mmf.cu:mul_mat_f	-	f16 x f16 GEMM
f16F32WaveMatVecKernel	wave	mmvf.cu:mul_mat_vec_f	-	f16 weight; not in the reference model
f32CopyKernel	utility	cpy.cu:cpy_f32_f32	-	
f32ToF16Kernel	utility	cpy.cu:cpy_f32_f16	-	
gatherRowsF32Kernel	utility	getrows.cu:get_rows	-	
gluF32	utility	unary.cu:swiglu	14336	
gluFusedF32	utility	unary.cu:swiglu	14336	
gluPackF32	utility	NONE	-	fused GLU + q8 pack; judged by roofline
iq2sF16CoopN256Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq2sF16CoopN64Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq2sF16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq2sIq3xxsQkvWaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	fused q/k/v three-weight form; llama.cpp runs three MUL_MAT; judged against three mmvq launches
